promotion1,0,80,MatiereConcernee4,professeur4,PROFESSEUR4
promotion1,1,81,MatiereConcernee4,professeur4,PROFESSEUR4
promotion1,2,82,MatiereConcernee4,professeur4,PROFESSEUR4
promotion1,3,83,MatiereConcernee4,professeur4,PROFESSEUR4
promotion1,4,84,MatiereConcernee4,professeur4,PROFESSEUR4
promotion1,5,85,MatiereConcernee4,professeur4,PROFESSEUR4
promotion1,6,86,MatiereConcernee4,professeur4,PROFESSEUR4
promotion1,7,87,MatiereConcernee4,professeur4,PROFESSEUR4
promotion1,8,88,MatiereConcernee4,professeur4,PROFESSEUR4
promotion1,9,89,MatiereConcernee4,professeur4,PROFESSEUR4
promotion2,10,79,MatiereConcernee4,professeur4,PROFESSEUR4
promotion2,11,78,MatiereConcernee4,professeur4,PROFESSEUR4
promotion2,12,77,MatiereConcernee4,professeur4,PROFESSEUR4
promotion2,13,76,MatiereConcernee4,professeur4,PROFESSEUR4
promotion2,14,75,MatiereConcernee4,professeur4,PROFESSEUR4
promotion2,15,74,MatiereConcernee4,professeur4,PROFESSEUR4
promotion2,16,73,MatiereConcernee4,professeur4,PROFESSEUR4
promotion2,17,72,MatiereConcernee4,professeur4,PROFESSEUR4
promotion2,18,71,MatiereConcernee4,professeur4,PROFESSEUR4
promotion2,19,70,MatiereConcernee4,professeur4,PROFESSEUR4
promotion3,20,65,MatiereConcernee4,professeur4,PROFESSEUR4
promotion3,21,66,MatiereConcernee4,professeur4,PROFESSEUR4
promotion3,22,67,MatiereConcernee4,professeur4,PROFESSEUR4
promotion3,23,68,MatiereConcernee4,professeur4,PROFESSEUR4
promotion3,24,69,MatiereConcernee4,professeur4,PROFESSEUR4
promotion3,25,95,MatiereConcernee4,professeur4,PROFESSEUR4
promotion3,26,94,MatiereConcernee4,professeur4,PROFESSEUR4
promotion3,27,93,MatiereConcernee4,professeur4,PROFESSEUR4
promotion3,28,92,MatiereConcernee4,professeur4,PROFESSEUR4
promotion3,29,91,MatiereConcernee4,professeur4,PROFESSEUR4
